,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,ID,gr_engine_active,sm_active,sm_occupancy,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,MCUTL,MUSAM,GUSAM,power_usage,TOTEC,pstate,gpu_temp,memory_temp,sm_clock,run_time,application,sm_app_clock,fp_active,predicted_power_usage,n_run_time,predicted_n_run_time,energy,n_energy,predicted_n_energy
40,40,40,40,0.0,0.8269814,0.73671925,0.49796852,0.030379742,0.005161988,0.25094953,0.0,44840068.42526555,249797368.3638088,81.14454,3.930956,3.0845978,80.55691,126.146416,2655.4399256449165,0.0,32.145294,45.372154,810.0,21.41283633333333,NAMD,810,0.130636753,128.8902,0.7153741891411739,0.7595526,2701.152559844581,90.24189005906521,97.89888626668453
41,41,41,41,0.0,0.82607955,0.73607916,0.49635813,0.029386364,0.0050912756,0.24524853,0.0,35595880.65982404,172831299.1579912,81.33614,3.9116569,2.9585776,80.77456,124.06191,2683.050294721408,0.0,31.853739,45.282623,795.0,22.05190433333333,NAMD,795,0.1277155406,127.11268,0.7367245952802425,0.77389264,2735.8013707306095,91.39946043444387,98.3715676383686
42,42,42,42,0.0,0.83017623,0.7466511,0.50517976,0.029376647,0.005174083,0.2499206,0.0,42680697.2000712,239934493.8729085,81.81666,3.9110003,2.960128,81.33642,123.62741,2713.196190815237,0.0,31.836597,45.207546,780.0,22.20257133333333,NAMD,780,0.130134383,127.0007,0.741758178000321,0.78580683,2744.8463892802465,91.70164239249866,99.79801807139515
43,43,43,43,0.0,0.8323788,0.74310607,0.5037642,0.029002072,0.005271032,0.2512648,0.0,43912407.25777041,247827062.67177787,81.84542,3.9042685,2.951927,81.28346,122.23583,2729.121198508081,0.0,31.779942,44.92623,765.0,22.46688933333333,NAMD,765,0.13090343200000001,126.36071,0.7505886884465744,0.7999087,2746.2588651781466,91.74883132087844,101.07703096455991
44,44,44,44,0.0,0.8373232,0.7492437,0.5066596,0.028847873,0.005140954,0.253682,0.0,50294759.65878814,310986751.9269445,81.9162,3.8886979,2.9480016,81.39922,121.778465,2720.102398366996,0.0,31.776966,44.95144,750.0,22.78493366666667,NAMD,750,0.131981954,125.74408,0.7612141237475066,0.81445915,2774.7142470534886,92.6994875262914,102.41341589430331
45,45,45,45,0.0,0.83824176,0.7476517,0.5046987,0.027898306,0.0052009686,0.2503608,0.0,42261216.53476306,232726262.2262193,82.327225,3.8453822,2.9536493,81.85991,119.37438,2753.269859564165,0.0,31.637842,44.85161,735.0,23.389457000000004,NAMD,735,0.1303813686,124.3182,0.7814104388301116,0.827461,2792.1019279116604,93.28038666087251,102.86846261944771
46,46,46,46,0.0,0.8439281,0.75487715,0.5116531,0.027792277,0.005156458,0.2550506,0.0,39303151.17110519,218449821.6231691,82.61951,3.6641145,2.9567244,82.08822,118.704414,2752.6379803595205,0.0,31.573568,44.900467,720.0,23.38749,NAMD,720,0.132681758,123.972206,0.7813447239940134,0.8396021,2776.19829538086,92.7490675937011,104.08732608236765
47,47,47,47,0.0,0.8450087,0.7570337,0.5139108,0.027508024,0.0052609113,0.2566136,0.0,46817961.07509628,275679861.3013479,82.92683,3.2724648,2.9467266,82.404366,118.57253,2770.273671373556,0.0,31.476572,44.905647,705.0,23.681684,NAMD,705,0.1335677113,123.262146,0.7911733515949528,0.85275656,2807.99718654052,93.81142596719309,105.11260358253872
48,48,48,48,0.0,0.84549165,0.759649,0.5129067,0.02709363,0.0052750967,0.25848553,0.0,51656018.49195624,317002313.5830116,82.951096,3.016731,2.9507723,82.42471,118.08656,2810.025050514801,0.0,31.326254,44.811775,690.0,24.188014,NAMD,690,0.13451786170000002,122.55863,0.8080891588962018,0.8667346,2856.27936649184,95.42446894734587,106.22580807985186
49,49,49,49,0.0,0.85038924,0.75626624,0.51090837,0.02596707,0.0053628455,0.25432837,0.0,44985546.481205344,263701537.41907424,83.46754,2.9633427,2.9453247,83.02081,115.37724,2864.891567878223,0.0,30.854303,44.831623,675.0,25.349029,NAMD,675,0.1325270305,121.19222,0.8468771153946508,0.8810925,2924.70100269996,97.71034419339632,106.78155473884226
